submission_timestamp,customer_name,customer_email,description,status,closed_timestamp,employee_name
1401586749,Kelly Kim,amendozau@shutterfly.com,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,closed,1415669949,Annie Mendoza
1413285813,Jason Sullivan,acolev@hatena.ne.jp,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,open,"",Amy Cole
1413179746,Mildred Murphy,rharperw@pbs.org,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,closed,1424411746,Ralph Harper
1416285624,Joyce Gardner,dwestx@usatoday.com,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,open,"",Deborah West
1400138083,Helen Fields,tduncany@example.com,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,closed,1416381283,Todd Duncan
1406294252,Antonio Allen,jchavezz@bloglovin.com,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,open,"",Jose Chavez
1400797296,William Webb,aberry10@google.de,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,open,"",Adam Berry
1402874621,Lillian Young,lday11@slate.com,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,closed,1424301821,Louis Day
1418044790,Aaron Walker,hfields12@rambler.ru,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,closed,1436966390,Heather Fields
1398005705,Gary Hunt,award13@liveinternet.ru,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,closed,1401461705,Antonio Ward
1410146819,Philip Ward,bclark14@cisco.com,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,open,"",Beverly Clark
1395718225,Kathy Gilbert,carnold15@ibm.com,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,closed,1417059025,Clarence Arnold
1405032947,Dennis Watson,dcarr16@house.gov,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,open,"",Deborah Carr
1409382014,Edward Ryan,mday17@economist.com,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,closed,1422687614,Marie Day
1398243142,Raymond James,dowens18@jugem.jp,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,open,"",Denise Owens
1395878276,Evelyn Harvey,mcrawford19@japanpost.jp,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,closed,1420329476,Marilyn Crawford
1414748106,Charles Freeman,ealexander1a@topsy.com,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,closed,1436002506,Ernest Alexander
1402608800,Russell Fields,lmorales1b@reference.com,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,open,"",Linda Morales
1418933310,Sarah Burns,pgriffin1c@networksolutions.com,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,closed,1443557310,Paul Griffin
1411038569,Jesse Howell,tbrooks1d@comsenz.com,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,closed,1432897769,Todd Brooks
